id;name
1;Matthias Geis
2;Klaus Harpprecht
3;Carl D. Goerdeler
4;Gisela Dachs
5;Dieter Buhl
6;Wolfgang Ebert
7;Christoph Bertram
8;Anthony Lewis
9;Dieter Karkowski
10;Horst Eylmann
11;Gunter Hofmann
12;Stefan Willeke
13;Andreas Fink
14;Klaus-Peter Schmid
15;
16;Herbert Stelz
17;Christian Wernicke
18;Heinz-Guenter Kemmer
19;Dietmar H. Lamparter
20;Judith Reicherzer
21;Oliver Schumacher
22;Fritz Vorholz
23;Thomas Hanke
24;Roland Kirbach
25;Petra Kipphoff
26;Konrad Heidkamp
27;Guenter Metken
28;Christiane Peitz
29;Rolf Michaelis
30;Michael Thumann
31;Christoph Dieckmann
32;Constanze Stelzenmueller
33;Philipp Mausshardt
34;Thomas Kleine-Brockhoff
35;Klaus Hartung
36;Manfred Sack
37;Joachim Nawrocki
38;Volkmar Deile
39;Gero von Randow
40;H.b.k.
41;Wilfried Herz
42;Ulrich Schneider
43;Petra Pinzler
44;Hans-Otto Eglau
45;Cornelia Uebel
46;Martina Keller
47;Mario Mueller
48;Uwe Jean Heuser
49;Joerg Eigendorf
50;Wolfgang Hoffmann
51;Christian Tenbrock
52;Joachim Fritz-Vannahme
53;Wolfgang Blum
54;Ulrike Bleistein
55;Rainer Willmann
56;Eleonore Buening
57;Horst Kuennemann
58;Reinhard Osteroth
59;Michael Skasa
60;Barbara Sichtermann
61;Robert Leicht
62;Michael Schwelien
63;Vera Gaserow
64;Michael Lueders
65;Robert Gerald Livingston
66;Bodo Hombach
67;Peter Bender
68;Ulrich Herbert
69;Dirk Kurbjuweit
70;Wolfgang Gehrmann
71;Ludwig Siegele
72;Joerg Albrecht
73;Erika Martens
74;Gunhild Luetge
75;Heinz Bluethmann
76;Norbert Mappes-Niediek
77;Rita Lansch
78;Joerg Blech
79;Martin Klingst
80;Ulrich Schnabel
81;Thomas Assheuer
82;Heinz Josef Herbort
83;Andreas Kilb
84;Christian Schmidt-Haeuer
85;Jens Pruess
86;Alexander Solschenizyn
87;Jochen Buchsteiner
88;Bernhard Woerdehoff
89;Beat Kappeler
90;Bartholomaeus Grill
91;Arne Daniels
92;Gunhild Freese
93;Wolfgang Proissl
94;Hermannus Pfeiffer
95;Nikolaus Piper
96;George Soros
97;Manfred Kriener
98;Andreas Weber
99;David Cohen
100;Joerg Lau
101;Norbert Grob
102;Thomas Miessgang
103;Armin Thurnher
104;Guillaume Duval
105;Klaus Boelling
106;Jim Hoagland
107;Marie-Luise Hauch-Fleck
108;Thomas Fischermann
109;Georg Schwarte
110;Friedhelm Groeteke
111;Monika Hoegen
112;Jochen Paulus
113;Michel Lorblanchet
114;Benedikt Erenz
115;Dragan Velikic
116;Gerwin Zohlen
117;Elke von Radziewsky
118;Friedrich Achleitner
119;Benjamin Henrichs
120;Elke Schmitter
121;Jutta Limbach
122;Frank Rich
123;Mechtild Rothe
124;Birgit Cerha
125;Fredy Gsteiger
126;Ulrich Johannes Schneider
127;Andreas Sentker
128;Kuno Kruse
129;Herbert W. Rabl
130;Václav Klaus
131;Jeffrey Sachs
132;Kristian Schlegel
133;Sabine Etzold
134;Carlo Ginzburg
135;Rolf Boysen
136;Ulf Erdmann Ziegler
137;Willi Winkler
138;Fritz J. Raddatz
139;Theo Sommer
140;Werner A. Perger
141;Adam Krzeminski
142;Klaus Escher
143;Uschi Eid
144;Anton Brender
145;Juergen Kroenig
146;Ulrich Schiller
147;Gabriele Venzky
148;Edward Said
149;Hj.ste.
150;Guenter Kehrer
151;Bjoern Sandmark
152;Karl-Heinz Bilitza
153;Joachim Mitschke
154;Georg Blume
155;Martin Dahms
156;Rudolf Engen
157;Wiebke Roegener
158;Dieter E. Zimmer
159;Frank Littek
160;Alice Schwarzer
161;Hanno Rauterberg
162;Adolf Muschg
163;Stefan Berkholz
164;Siggi Seuss
165;René Drommert
166;Veniamin Kagan
167;Olaf Baale
168;Karl-Heinz Janssen
169;Dietrich Strothmann
170;Eberhard Juengel
171;Janusz Tycner
172;Mathias Greffrath
173;Hans-Harald Braeutigam
174;Johannes Wetzeln
175;Jens Reich
176;Matthias Nass
177;Ole Bang Nielsen
178;Ewald Koenig
179;Alexander Polozki
180;Th.a.
181;Ulrich Cartellieri
182;Imke Henkel
183;Rainer Kayser
184;Philipp Goeltenboth
185;Hans-Christoph Blumenberg
186;Helmut Schmidt
187;Rita Suessmuth
188;Bernd Loppow
189;Gerhard Maier
190;Louis Uchitelle
191;Werner Paczian
192;Rita Engelhardt
193;Johannes Wetzel
194;Wieland Schmied
195;Eckhard Roelcke
196;Nina Grunenberg
197;Th.s.
198;Christine von Kohl
199;Patricia Meeham
200;Robert L. Earle
201;Josef Stelzer
202;Reiner Scholz
203;Caroline von Loewenich
204;Wolfgang Zank
205;Libuse Monikova
206;Manfred Fuhrmann
207;Joscha Schmierer
208;Jonathan Eyal
209;Thomas W. Heinz
