id;name;Sprache
1;Matthias Geis;DE
2;Helmut Kohl;DE
3;Wolfgang Schäuble;DE
4;Peter Haussmann;DE
5;Rita Süssmuth;DE
6;Zürich;DE
7;Schweiz;DE
8;Bonn;DE
9;Bild-Zeitung;DE
10;Luftwaffe;DE
11;Bundestag;DE
12;Flugbereitschaft;DE
13;Klaus Harpprecht;DE
14;E. J. Dionne;DE
15;Martin Luther King;DE
16;Harvey Gantt;DE
17;James Duke;DE
18;New York;DE
19;Manhattan;DE
20;New Jersey;DE
21;Durham;DE
22;North Carolina;DE
23;Raleigh;DE
24;Europa;DE
25;Vietnam;DE
26;Saigon;DE
27;Amerika;DE
28;New Orleans;DE
29;Bedford;DE
30;USA;DE
31;Duke University;DE
32;Furcht;DE
33;Physik;DE
34;Drogen;DE
35;Familie;DE
36;Computer;DE
37;Alberto Fujimori;DE
38;Mao Zedong;DE
39;Peru;DE
40;Robin Hood;DE
41;Überfall;DE
42;Lima;DE
43;Amos Oz;DE
44;Gisela Dachs;DE
45;Benjamin Netanjahu;DE
46;Schimon Peres;DE
47;Israel;DE
48;Westjordanland;DE
49;Mittelmeer;DE
50;Golanhöhen;DE
51;Tel Aviv;DE
52;ZEIT;DE
53;Likud;DE
54;Besatzung;DE
55;Dieter Buhl;DE
56;H. L. Mencken;DE
57;William Sebastian Cohen;DE
58;Bill Cohen;DE
59;VERITAS Software;DE
60;Orchester;DE
61;Altersversorgung;DE
62;Arbeitslose;DE
63;Autofahrer;DE
64;Elektronik;DE
65;Gesundheitsreform;DE
66;Konzert;DE
67;Krankenkasse;DE
68;Sparpaket;DE
69;Steuerreform;DE
70;Umfrage;DE
71;Apartheid;DE
72;China;DE
73;Dissident;DE
74;Europarat;DE
75;Völkermord;DE
76;Wei Jingsheng;DE
77;Birma;DE
78;Jugoslawien;DE
79;Kroatien;DE
80;Menschenrechte;DE
81;Südafrika;DE
82;Asien;DE
83;Balkan;DE
84;Nürnberg;DE
85;Peking;DE
86;Evangelische Kirche;DE
87;Arbeitsmarkt;DE
88;Brot;DE
89;Einkommen;DE
90;Handel;DE
91;Personal;DE
92;Tageszeitung;DE
93;Hildesheim;DE
94;CDU;DE
95;Alkohol;DE
96;Apotheke;DE
97;Cannabis;DE
98;Droge;DE
99;Haschisch;DE
100;Horst Eylmann;DE
